-0.377777777777778, 0, 0, High_school_graduate, Female, -1, -0.654334289122448, -0.666666666666667, Native-_Born_in_the_United_States, 2, -0.538461538461538, -50000
-0.4, 0, 0, High_school_graduate, Male, -1, -0.530184315593516, 1, Native-_Born_abroad_of_American_Parent(s), 0, 1, -50000
-0.133333333333333, 35, 17, Some_college_but_no_degree, Female, -0.9959999599996, -0.155465446299557, -0.666666666666667, Native-_Born_in_the_United_States, 0, 1, -50000
-0.488888888888889, 33, 19, Some_college_but_no_degree, Female, -1, -0.698925102135864, 1, Native-_Born_in_the_United_States, 0, 1, -50000
-0.6, 0, 0, Some_college_but_no_degree, Female, -1, -0.605144542647611, -0.666666666666667, Native-_Born_in_the_United_States, 0, -0.538461538461538, -50000
-0.244444444444444, 0, 0, 7th_and_8th_grade, Male, -1, -0.362781014604865, -1, Native-_Born_in_the_United_States, 0, -1, -50000
-0.111111111111111, 0, 0, 1st_2nd_3rd_or_4th_grade, Female, -1, -0.874735455176321, -1, Native-_Born_in_the_United_States, 0, -1, -50000
0.533333333333333, 0, 0, High_school_graduate, Female, -1, -0.786668400444236, -1, Native-_Born_in_the_United_States, 0, -1, -50000
-0.533333333333333, 33, 2, High_school_graduate, Male, -1, -0.888489795701735, 1, Native-_Born_in_the_United_States, 0, 1, -50000
-0.466666666666667, 40, 10, Some_college_but_no_degree, Female, -1, -0.743924591290687, -1, Native-_Born_in_the_United_States, 0, -1, -50000
-0.355555555555556, 0, 0, High_school_graduate, Female, -1, -0.45394498529164, -1, Native-_Born_in_the_United_States, 0, -1, -50000
-0.488888888888889, 11, 23, Some_college_but_no_degree, Female, -1, -0.0319842155474735, 0, Native-_Born_in_the_United_States, 0, 1, -50000
0.155555555555556, 39, 31, Masters_degree(MA_MS_MEng_MEd_MSW_MBA), Male, -1, -0.768612345469334, 1, Native-_Born_in_the_United_States, 0, 1, -50000
-0.711111111111111, 0, 0, Children, Female, -1, -0.647835276977601, -1, Native-_Born_in_the_United_States, 0, -1, -50000
0.533333333333333, 0, 0, 7th_and_8th_grade, Male, -1, -0.682272876244107, -1, Native-_Born_in_the_United_States, 0, -1, -50000
-0.866666666666667, 0, 0, Children, Female, -1, -0.972507241396239, -1, Native-_Born_in_the_United_States, 0, -1, -50000
-0.844444444444444, 0, 0, Children, Female, -1, 0.0196310503640269, -1, Native-_Born_in_the_United_States, 0, -1, -50000
0.222222222222222, 0, 0, 7th_and_8th_grade, Female, -1, -0.602522646363778, -1, Native-_Born_in_the_United_States, 0, -1, -50000
-0.888888888888889, 0, 0, Children, Male, -1, -0.765796726079509, -1, Native-_Born_in_the_United_States, 0, -1, -50000
0.688888888888889, 0, 0, 7th_and_8th_grade, Female, -1, -0.758902306499145, -1, Native-_Born_in_the_United_States, 0, -1, -50000
-0.333333333333333, 0, 0, High_school_graduate, Female, -1, -0.739060283711469, -0.666666666666667, Native-_Born_in_the_United_States, 0, -0.461538461538462, -50000
-0.422222222222222, 35, 26, High_school_graduate, Female, -1, -0.54857739569802, 0, Native-_Born_in_the_United_States, 0, 1, -50000
-0.155555555555556, 39, 31, 1st_2nd_3rd_or_4th_grade, Female, -1, -0.979006253541086, 0, Foreign_born-_U_S_citizen_by_naturalization, 2, -0.230769230769231, -50000
-0.0888888888888889, 45, 11, Doctorate_degree(PhD_EdD), Male, -1, -0.930830236196234, -0.666666666666667, Native-_Born_in_the_United_States, 0, 1, -50000
-0.2, 40, 33, 10th_grade, Male, -1, -0.489924408182546, -0.333333333333333, Native-_Born_in_the_United_States, 0, 1, -50000
-0.533333333333333, 34, 25, Some_college_but_no_degree, Male, -1, -0.716105422522036, 1, Native-_Born_in_the_United_States, 2, 1, -50000
-0.333333333333333, 43, 10, Bachelors_degree(BA_AB_BS), Female, -1, -0.594067826970768, 0, Native-_Born_in_the_United_States, 0, 1, -50000
0.2, 50, 3, Some_college_but_no_degree, Male, -1, -0.714001005767906, 0.333333333333333, Native-_Born_in_the_United_States, 0, 1, -50000
-0.733333333333333, 0, 0, Children, Female, -1, -0.604014048905796, -1, Native-_Born_in_the_United_States, 0, -1, -50000
0.0444444444444444, 47, 26, Some_college_but_no_degree, Female, -1, -0.312901295423756, 0, Native-_Born_in_the_United_States, 2, 1, -50000
-0.0888888888888889, 43, 10, Masters_degree(MA_MS_MEng_MEd_MSW_MBA), Female, -0.9989999899999, -0.907777186583215, 0.666666666666667, Native-_Born_in_the_United_States, 0, 0.576923076923077, -50000
0, 0, 0, Masters_degree(MA_MS_MEng_MEd_MSW_MBA), Male, -0.99979999799998, -0.389896941961354, -0.666666666666667, Native-_Born_in_the_United_States, 2, 1, -50000
-0.777777777777778, 0, 0, Children, Male, -1, -0.328985620703427, -1, Native-_Born_in_the_United_States, 0, -1, -50000
-0.0666666666666667, 43, 26, Some_college_but_no_degree, Female, -1, -0.753178186778265, 1, Foreign_born-_Not_a_citizen_of_U_S_, 0, 1, -50000
0.0222222222222222, 45, 12, Masters_degree(MA_MS_MEng_MEd_MSW_MBA), Male, -0.9979999799998, -0.785994350185032, -0.666666666666667, Native-_Born_in_the_United_States, 0, 1, -50000
-0.333333333333333, 37, 23, High_school_graduate, Female, -1, -0.490831987665411, -0.666666666666667, Foreign_born-_U_S_citizen_by_naturalization, 0, 1, -50000
-0.822222222222222, 0, 0, Children, Female, -1, -0.39674890168287, -1, Native-_Born_in_the_United_States, 0, -1, -50000
-0.177777777777778, 4, 34, Some_college_but_no_degree, Male, -1, -0.746039623009528, -0.666666666666667, Native-_Born_in_the_United_States, 0, 1, -50000
-0.711111111111111, 0, 0, Children, Male, -1, -0.612444984628204, -1, Native-_Born_in_the_United_States, 0, -1, -50000
1, 0, 0, 1st_2nd_3rd_or_4th_grade, Female, -1, -0.600726063586292, -0.333333333333333, Native-_Born_in_the_United_States, 0, 0.538461538461538, -50000
-0.2, 0, 0, Some_college_but_no_degree, Female, -1, -0.78670289907955, -1, Native-_Born_in_the_United_States, 0, -1, -50000
0.2, 4, 34, High_school_graduate, Male, -1, -0.787483098985873, -0.333333333333333, Native-_Born_in_the_United_States, 0, 1, -50000
0.311111111111111, 4, 2, Some_college_but_no_degree, Male, -0.99859998599986, -0.747974200328268, 1, Native-_Born_in_the_United_States, 0, 1, -50000
0.8, 0, 0, High_school_graduate, Female, -1, -0.590652462074721, -1, Native-_Born_in_the_United_States, 0, -1, -50000
-0.0888888888888889, 0, 0, High_school_graduate, Female, -1, -0.413417050021694, -1, Native-_Born_in_the_United_States, 0, -1, -50000
-0.777777777777778, 0, 0, Children, Male, -1, -0.568451263379831, -1, Native-_Born_in_the_United_States, 0, -1, -50000
-0.2, 0, 0, Some_college_but_no_degree, Male, -1, -0.836500352284141, -0.666666666666667, Native-_Born_in_the_United_States, 0, -0.230769230769231, -50000
0.311111111111111, 4, 34, High_school_graduate, Male, -1, -0.501048891200592, 1, Native-_Born_in_the_United_States, 0, 1, -50000
-0.822222222222222, 0, 0, Children, Female, -1, -0.702972057432267, -1, Native-_Born_in_the_United_States, 0, -1, -50000
0.488888888888889, 29, 2, 12th_grade_no_diploma, Male, -1, -0.764798919396592, -0.666666666666667, Native-_Born_in_the_United_States, 0, 1, -50000
0.555555555555556, 0, 0, Masters_degree(MA_MS_MEng_MEd_MSW_MBA), Male, -0.998659986599866, -0.784250842231106, -1, Native-_Born_in_the_United_States, 0, -1, -50000
0.0444444444444444, 37, 20, High_school_graduate, Female, -1, -0.742348269030973, -0.666666666666667, Native-_Born_in_the_United_States, 0, -0.230769230769231, -50000
-0.955555555555556, 0, 0, Children, Female, -1, -0.931069072902251, -1, Native-_Born_in_the_United_States, 0, -1, -50000
0.0222222222222222, 37, 31, High_school_graduate, Female, -1, -0.791646818894106, 1, Foreign_born-_Not_a_citizen_of_U_S_, 0, 1, -50000
0.266666666666667, 35, 23, Associates_degree-academic_program, Female, -1, -0.464456454097575, 0.666666666666667, Native-_Born_in_the_United_States, 0, -0.384615384615385, -50000
-0.733333333333333, 0, 0, Children, Male, -1, -0.930474634878386, -1, Native-_Born_in_the_United_States, 0, -1, -50000
0.0222222222222222, 18, 37, High_school_graduate, Female, -1, -0.779792557052118, -0.333333333333333, Foreign_born-_Not_a_citizen_of_U_S_, 0, 1, -50000
-1, 0, 0, Children, Male, -1, -0.54738851965029, -1, Native-_Born_in_the_United_States, 0, -1, -50000
0.777777777777778, 0, 0, 9th_grade, Female, -1, -0.585716503483699, -1, Native-_Born_in_the_United_States, 0, -1, -50000
0.333333333333333, 0, 0, High_school_graduate, Male, -1, -0.408918958725037, -1, Native-_Born_in_the_United_States, 0, -1, -50000
0.822222222222222, 0, 0, 7th_and_8th_grade, Female, -1, -0.530046321052261, -1, Native-_Born_in_the_United_States, 0, -1, -50000
0.0888888888888889, 7, 26, 7th_and_8th_grade, Female, -1, -0.537994275880279, 1, Native-_Born_in_the_United_States, 0, 0.769230769230769, -50000
0.311111111111111, 39, 31, High_school_graduate, Male, -1, -0.367414446701599, 1, Foreign_born-_Not_a_citizen_of_U_S_, 0, 1, -50000
-0.311111111111111, 0, 0, Associates_degree-academic_program, Female, -0.99989999899999, -0.808307006009397, 0.333333333333333, Native-_Born_in_the_United_States, 0, 0.153846153846154, -50000
-0.622222222222222, 0, 0, 7th_and_8th_grade, Male, -1, -0.144470996599231, -1, Native-_Born_in_the_United_States, 0, -1, -50000
-0.377777777777778, 43, 7, Prof_school_degree_(MD_DDS_DVM_LLB_JD), Male, -1, -0.150126119049483, 0, Native-_Born_in_the_United_States, 2, 1, -50000
0.177777777777778, 43, 31, 10th_grade, Male, -1, -0.553338207371297, 0.333333333333333, Native-_Born_in_the_United_States, 0, 1, -50000
-0.466666666666667, 50, 23, Some_college_but_no_degree, Female, -1, -0.789770623881282, 1, Native-_Born_in_the_United_States, 0, 1, -50000
0.133333333333333, 29, 42, High_school_graduate, Male, -1, -0.798949914615878, 1, Native-_Born_in_the_United_States, 0, 1, -50000
-0.866666666666667, 0, 0, Children, Male, -1, -0.251464533412592, -1, Native-_Born_in_the_United_States, 0, -1, -50000
0.244444444444444, 34, 17, Bachelors_degree(BA_AB_BS), Male, -1, -0.78774847310367, 1, Native-_Born_in_the_United_States, 0, 1, -50000
-0.4, 4, 2, 12th_grade_no_diploma, Male, -1, -0.801261323181889, -0.666666666666667, Native-_Born_in_the_United_States, 0, 1, -50000
0.8, 0, 0, High_school_graduate, Female, -1, -0.770952945188303, -1, Native-_Born_in_the_United_States, 0, -1, -50000
