true,average,average,high,high,B,0,912.4,-1.44
true,high,high,average,average,B,47,-6.2,3.73
true,high,high,high,high,B,47,37,2.9
false,average,low,high,average,B,5,16.8,1.87
true,high,average,average,average,B,-15,1144.1,0.04
false,average,low,low,average,B,-3,-29.7,2.12
true,high,high,high,high,B,26,404.2,1.48
true,high,high,low,average,B,60,2244.3,-1.34
true,high,high,high,low,B,24,294.1,0.74
true,high,high,low,low,B,31,76.6,2.72
false,average,low,low,low,B,4,208.6,0.46
false,high,average,high,high,B,4,231.1,0.26
true,high,high,high,high,B,11,183.8,-0.3
false,low,low,average,average,B,5,188,0.9
false,low,low,average,low,B,-3,66.9,1.66
false,average,low,average,high,B,5,432.8,-0.49
false,average,average,average,high,B,6,349.6,-1.84
true,high,high,high,high,B,36,107.5,1.34
true,high,high,high,high,B,68,215.8,1.83
true,high,high,low,low,B,40,748.5,0.41
false,average,average,average,average,B,-6,511.8,-2.3
false,average,average,average,low,B,-10,609.2,-0.85
true,high,high,high,high,B,1,3.1,0.89
false,high,average,low,low,B,-6,340.5,0.29
true,high,high,high,high,B,43,288.5,0.82
false,low,low,average,average,B,-6,332.3,-1.48
true,average,low,low,average,B,7,478.6,0.47
false,low,low,low,low,B,0,226,-1.44
false,average,average,average,high,B,3,563.4,-1.13
true,high,high,high,high,B,43,-43.7,3.16
false,high,low,average,low,B,0,351.7,-0.51
false,average,low,low,average,B,5,331.4,-2.8
false,average,average,low,average,B,-8,240.6,-1.42
false,average,low,low,low,B,1,132.4,0.45
true,high,high,low,low,B,-1,-26.5,1.31
true,high,high,high,high,B,52,-63.4,2.24
true,high,high,high,high,B,30,91.8,1.45
true,average,average,high,high,B,10,341.6,-0.01
true,high,high,high,high,B,51,-296.9,3.14
false,average,low,low,average,B,-6,320.6,0.06
true,high,high,high,high,B,25,97.3,1.62
false,low,average,average,average,B,11,920.1,-2.45
false,average,average,average,high,B,1,57.9,1.11
false,average,average,average,average,B,-4,306.4,0.61
false,low,low,low,low,B,-3,17,1.52
false,average,low,average,low,B,3,492.5,-0.16
true,high,high,high,high,B,35,327.8,1.91
true,average,high,average,average,B,11,71.7,1.31
true,average,high,average,average,B,11,71.7,1.31
false,average,low,high,average,B,-4,109.1,1.25
true,average,average,average,high,B,-2,938.3,-1.19
false,average,average,high,average,B,1,140.2,0.92
true,average,average,low,average,B,-4,-29.4,1.8
true,average,average,low,average,B,-4,-29.4,1.8
false,average,average,low,low,B,-7,762.6,-2.5
true,low,average,average,low,B,-4,84.6,1.31
true,low,average,average,low,B,-4,84.6,1.31
true,high,average,low,average,B,15,164.7,0.47
true,high,high,low,average,B,28,473.1,1.19
false,average,average,low,low,B,-6,0.1,2.19
true,high,high,high,high,B,51,184.4,2.26
true,high,high,high,high,B,82,-67.3,2.83
true,high,high,high,high,B,28,-231.9,3.12
true,high,high,average,low,B,6,232.7,-0.79
true,high,high,low,low,B,22,592.6,0.63
true,high,high,high,high,B,1,97.2,-0.01
true,high,high,high,low,B,32,157.7,2.33
true,average,average,high,high,B,0,142.5,0.99
true,average,average,high,high,B,0,142.5,0.99
true,average,high,high,average,B,-3,-18.6,1.33
false,average,low,high,low,B,-3,46.3,1.72
false,high,average,low,low,B,11,468.8,-1.25
true,high,high,high,high,B,30,101.6,1.56
false,high,average,average,high,B,-3,347.7,-0.28
false,low,low,low,average,B,-5,44,1.82
true,high,high,high,average,B,52,-226.1,3.01
true,low,average,average,average,B,0,431.4,0.68
true,high,high,average,average,B,56,215.2,2.13
false,average,average,high,average,B,1,19.3,1.32
true,high,high,high,low,B,16,388.2,0.47
false,high,low,low,low,B,-3,205.8,-0.76
false,high,average,average,low,B,-1,365,-0.63
true,high,high,high,high,B,2,262.9,-0.66
true,high,high,high,high,B,57,196.1,2.47
true,average,average,low,average,B,13,126.7,0.88
false,high,average,average,low,B,-1,523.3,-0.35
false,average,low,average,high,B,-10,75.6,1.48
true,high,high,high,average,B,29,338.4,0.44
false,low,average,low,average,B,10,362.8,-2.22
true,high,high,high,average,B,9,52,1.46
false,low,low,low,average,B,3,232.4,0.16
true,high,high,high,average,B,-6,185.2,-1
true,high,high,average,average,B,8,52.3,1.07
true,high,high,high,low,B,36,253.9,1.9
false,average,low,average,high,B,4,24.5,1.43
false,low,low,average,average,B,0,403.3,-0.18
true,average,high,high,high,B,5,101.4,0.11
true,high,high,high,high,B,71,-75.6,2.52
true,average,average,average,high,B,4,1,1.44
true,average,average,average,high,B,4,1,1.44
true,high,high,low,average,B,0,176.7,1.37
true,high,high,average,low,B,23,586.6,0.73
true,high,high,average,low,B,31,637.6,0.8
false,high,average,high,low,B,8,157.8,1.03
false,average,low,low,average,B,-5,436.1,-0.08
false,high,average,high,high,C,5,720.1,-1.38
false,low,low,low,average,C,4,63.5,0.39
false,average,low,low,low,C,0,272.2,0.3
false,average,low,average,low,C,-10,724.2,-1.97
true,high,high,low,low,C,13,227.7,1.8
false,average,average,average,low,C,10,309.2,0.59
true,high,high,high,high,C,31,257.8,1.71
true,average,high,average,high,C,-6,1403.8,-1.19
false,high,average,low,average,C,-1,112.4,0.7
true,average,high,average,average,C,27,709.9,-0.96
true,high,high,average,low,C,26,425,0.25
true,average,average,high,high,C,24,383.8,1
false,average,low,high,high,C,13,216.9,1.12
false,average,low,low,average,C,-6,179.8,-1.19
true,high,high,high,average,C,25,175.3,0.51
false,average,low,low,low,C,3,358.6,-0.86
true,low,average,high,average,C,3,-33.6,1.57
true,high,high,high,high,C,-8,104.7,0.31
false,average,average,high,high,C,0,614.2,-1.25
false,low,average,low,low,C,11,270.8,-1.01
false,low,average,average,high,C,-5,212.1,-1.29
false,low,low,high,high,C,10,308.1,0.83
